stn;time;tnd00xm0;tnd00nm0;tnd30xm0;rre150m0;rsd010m0;rsd100m0;rs1000m0;tre200m0;tre2dymx;tre2dymn
MMSAA;201608;0;0;0;90.6;8;4;0;16.4;23.0;10.2
MMSAA;201609;0;0;0;56.0;6;2;0;13.5;19.8;8.2
MMSAA;201610;0;12;0;68.2;8;3;0;5.7;11.1;1.5
MMSAA;201611;4;24;0;-;-;-;-;1.7;5.6;-2.2
MMSAA;201612;19;30;0;0.2;0;0;0;-4.4;-0.5;-6.8
MMSAA;201701;23;30;0;52.6;9;2;0;-8.0;-3.4;-12.0
MMSAA;201702;0;27;0;62.2;12;2;0;-0.3;5.1;-4.2
MMSAA;201703;0;17;0;118.8;10;3;0;4.7;11.0;-0.4
MMSAA;201704;-;-;-;-;-;-;-;6.3;12.9;0.2
MMSAA;201705;-;-;-;-;-;-;-;-;-;-
MMSAA;201706;0;0;0;123.0;12;6;0;17.1;23.4;10.8
MMSAA;201707;0;0;0;116.8;12;6;0;17.0;23.1;11.1
MMSAA;201708;0;0;0;117.6;10;5;0;16.6;23.3;10.4
MMSAA;201709;0;0;0;77.0;12;3;0;9.9;15.8;5.1
MMSAA;201710;0;4;0;70.8;9;3;0;7.2;14.5;2.2
MMSAA;201711;6;24;0;113.2;11;3;0;-0.7;3.5;-3.9
MMSAA;201712;16;28;0;171.4;17;5;0;-4.8;-1.0;-8.5
MMSAA;201801;2;25;0;296.4;13;9;0;-0.3;3.7;-3.1
MMSAA;201802;11;26;0;71.8;8;3;0;-4.0;0.4;-7.6
MMSAA;201803;0;28;0;114.2;16;3;0;1.1;6.2;-2.9
MMSAA;201804;-;-;-;-;-;-;-;9.6;18.4;1.6
MMSAA;201805;-;-;-;-;-;-;-;-;-;-
MMSAA;201806;-;-;-;40.6;4;2;0;-;-;-
MMSAA;201807;-;-;-;-;-;-;-;-;-;-
MMSAA;201808;-;-;-;-;-;-;-;-;-;-
MMSAA;201809;-;-;-;-;-;-;-;-;-;-
MMSAA;201810;-;-;-;-;-;-;-;-;-;-
MMSAA;201811;1;18;0;5.8;2;0;0;2.5;6.9;-1.0
MMSAA;201812;6;19;0;-;16;8;0;-0.3;2.5;-3.0
MMSAA;201901;21;31;0;100.8;10;4;0;-4.9;-1.3;-8.6
MMSAA;201902;2;28;0;48.6;5;3;0;-2.4;5.0;-7.6
MMSAA;201903;-;-;-;-;-;-;-;-;-;-
MMSAA;201904;-;-;-;-;-;-;-;-;-;-
MMSAA;201905;-;-;-;97.6;12;4;0;8.5;13.6;3.7
MMSAA;201906;-;-;-;91.6;11;2;0;-;-;-
MMSAA;201907;0;0;5;92.6;9;3;0;18.3;25.6;11.2
MMSAA;201908;-;-;-;175.2;14;7;0;16.8;24.7;10.4
MMSAA;201909;-;-;-;-;-;-;-;13.1;-;-
MMSAA;201910;-;-;-;102.8;12;5;0;-;-;-
MMSAA;201911;2;19;0;100.6;14;3;0;1.6;5.5;-1.3
MMSAA;201912;-;-;-;116.6;13;6;0;-0.2;4.0;-3.5
MMSAA;202001;-;-;-;33.8;6;1;0;-3.4;0.2;-6.5
MMSAA;202002;0;24;0;-;-;-;-;1.1;7.3;-3.2
MMSAA;202003;0;27;0;-;-;-;-;2.7;8.9;-2.1
MMSAA;202004;0;9;0;46.8;4;2;0;9.2;17.6;1.5
MMSAA;202005;0;0;0;58.8;8;2;0;12.1;19.0;5.2
MMSAA;202006;0;0;0;118.2;20;2;0;13.7;20.1;8.0
MMSAA;202007;0;0;4;-;-;-;-;17.5;25.0;10.4
MMSAA;202008;-;-;-;116.4;12;5;0;16.6;24.3;10.0
MMSAA;202009;-;-;-;94.2;7;5;0;12.7;19.7;7.3
MMSAA;202010;0;5;0;113.4;13;4;0;6.1;11.5;2.0
MMSAA;202011;3;22;0;21.8;5;1;0;1.5;6.6;-1.8
MMSAA;202012;9;28;0;67.6;14;2;0;-2.1;1.0;-5.5
MMSAA;202101;-;-;-;183.6;14;5;0;-;-;-
MMSAA;202102;3;25;0;31.6;6;2;0;0.0;5.8;-4.1
MMSAA;202103;-;-;-;69.8;7;4;0;-;-;-
MMSAA;202104;-;-;-;-;-;-;-;-;-;-
MMSAA;202105;-;-;-;-;-;-;-;-;-;-
MMSAA;202106;-;-;-;117.8;14;5;0;-;-;-
MMSAA;202107;0;0;1;193.0;17;9;0;15.8;22.1;10.3
MMSAA;202108;-;-;-;67.8;6;3;0;15.0;21.5;9.6
MMSAA;202109;-;-;-;57.8;11;2;0;-;-;-
MMSAA;202110;-;-;-;26.6;7;1;0;-;-;-
