stn;time;hns010mx;hns000m0;hto000m0
SLF1SM;201301;-;102;65
SLF1SM;201302;-;142;94
SLF1SM;201303;-;79;73
SLF1SM;201304;-;43;32
SLF1SM;201305;19;24;1
SLF1SM;201306;-;-;-
SLF1SM;201307;-;-;-
SLF1SM;201308;-;-;-
SLF1SM;201309;-;-;-
SLF1SM;201310;-;16;1
SLF1SM;201311;-;49;5
SLF1SM;201312;-;45;15
SLF1SM;201401;-;111;28
SLF1SM;201402;-;154;57
SLF1SM;201403;-;36;32
SLF1SM;201404;-;12;0
SLF1SM;201405;10;12;0
SLF1SM;201406;-;-;-
SLF1SM;201407;-;-;-
SLF1SM;201408;-;-;-
SLF1SM;201409;-;-;-
SLF1SM;201410;-;8;0
SLF1SM;201411;-;39;2
SLF1SM;201412;-;94;7
SLF1SM;201501;-;166;22
SLF1SM;201502;-;92;62
SLF1SM;201503;-;31;28
SLF1SM;201504;-;28;2
SLF1SM;201505;18;18;1
SLF1SM;201506;-;-;-
SLF1SM;201507;-;-;-
SLF1SM;201508;-;-;-
SLF1SM;201509;-;-;-
SLF1SM;201510;-;5;0
SLF1SM;201511;80;80;9
SLF1SM;201512;51;0;3
SLF1SM;201601;116;160;37
SLF1SM;201602;87;144;46
SLF1SM;201603;117;116;60
SLF1SM;201604;48;55;3
SLF1SM;201605;53;25;1
SLF1SM;201606;-;-;-
SLF1SM;201607;-;-;-
SLF1SM;201608;-;-;-
SLF1SM;201609;-;-;-
SLF1SM;201610;-;0;0
SLF1SM;201611;92;98;13
SLF1SM;201612;1;1;0
SLF1SM;201701;71;86;25
SLF1SM;201702;51;90;24
SLF1SM;201703;123;83;15
SLF1SM;201704;20;22;1
SLF1SM;201705;20;4;0
SLF1SM;201706;-;-;-
SLF1SM;201707;-;-;-
SLF1SM;201708;-;-;-
SLF1SM;201709;-;-;-
SLF1SM;201710;-;12;1
SLF1SM;201711;40;77;8
SLF1SM;201712;110;181;38
SLF1SM;201801;117;175;65
SLF1SM;201802;27;46;79
SLF1SM;201803;50;122;79
SLF1SM;201804;52;6;27
SLF1SM;201805;0;0;0
SLF1SM;201806;-;-;-
SLF1SM;201807;-;-;-
SLF1SM;201808;-;-;-
SLF1SM;201809;-;-;-
SLF1SM;201810;-;12;1
SLF1SM;201811;12;6;0
SLF1SM;201812;61;79;14
SLF1SM;201901;91;182;36
SLF1SM;201902;125;63;72
SLF1SM;201903;80;106;46
SLF1SM;201904;37;61;8
SLF1SM;201905;34;23;1
SLF1SM;201906;-;-;-
SLF1SM;201907;-;-;-
SLF1SM;201908;-;-;-
SLF1SM;201909;-;-;-
SLF1SM;201910;-;0;0
SLF1SM;201911;30;55;4
SLF1SM;201912;87;151;26
SLF1SM;202001;42;57;42
SLF1SM;202002;64;96;25
SLF1SM;202003;104;66;19
SLF1SM;202004;2;0;0
SLF1SM;202005;0;0;0
SLF1SM;202006;-;-;-
SLF1SM;202007;-;-;-
SLF1SM;202008;-;-;-
SLF1SM;202009;-;-;-
SLF1SM;202010;-;10;0
SLF1SM;202011;5;9;0
SLF1SM;202012;67;137;20
SLF1SM;202101;104;202;57
SLF1SM;202102;88;19;57
SLF1SM;202103;109;114;43
SLF1SM;202104;22;22;1
SLF1SM;202105;13;19;1
SLF1SM;202106;-;-;-
SLF1SM;202107;-;-;-
SLF1SM;202108;-;-;-
SLF1SM;202109;-;-;-
SLF1SM;202110;-;0;0
SLF1SM;202111;54;57;3
SLF1SM;202112;146;151;52
SLF1SM;202201;66;83;34
SLF1SM;202202;45;76;52
SLF1SM;202203;26;9;24
SLF1SM;202204;29;23;2
SLF1SM;202205;1;0;0
